"sku","storeid","cost","retail","sksinfo.zero"
3758081,209,12.0,8.0,0
3718849,4504,76.16,79.92,0
1447371,1404,14.34,14.99,0
1858204,6703,1.75,3.0,0
878565,1307,11.63,22.5,0
9777464,1002,9.0,10.0,0
2550002,4504,1.5,4.0,0
6276740,1002,29.0,34.5,0
4138374,3507,39.75,59.62,0
7018281,4707,12.0,15.0,0
5977653,5803,2.0,1.99,0
4247837,2203,18.13,12.25,0
1091401,2707,11.25,16.87,0
4752601,2909,57.5,115.0,0
1450232,7507,20.92,50.0,0
5330101,4703,27.66,66.0,0
6869499,3707,25.0,45.0,0
771916,4504,18.21,39.0,0
8808717,2604,31.6,79.0,0
4389749,107,25.0,50.0,0
5459513,3302,34.0,75.0,1
2329771,909,8.0,25.0,0
4827619,704,1.8,3.0,0
6410367,3004,39.75,79.5,0
977746,6904,16.15,36.0,0
2516470,809,35.67,22.25,0
2359105,7002,13.18,38.0,0
8132471,3307,7.88,15.75,0
4698081,3102,14.5,9.0,0
8807367,9704,18.21,14.99,0
1399746,104,0.0,0.0,0
5010636,9302,11.4,34.0,0
9057549,7002,15.0,16.0,0
6969706,3704,8.0,19.0,0
5589731,2107,250.0,595.0,0
9758419,5004,9.0,12.0,0
7960132,7704,65.0,139.0,0
2701437,9204,8.0,18.0,0
6998362,5202,2.1,2.0,0
2436746,2809,17.75,40.0,0
4846927,1003,19.63,12.0,0
699806,5502,11.64,7.38,0
7467367,8109,16.28,22.0,0
4013683,8507,14.0,9.5,0
1999027,1004,33.15,39.0,0
6019070,7007,3.65,5.0,0
688474,3503,11.0,29.0,0
1439143,3202,29.45,16.25,0
247911,4109,24.5,59.0,1
3148744,6104,21.6,42.0,0
6780703,8902,14.73,31.0,0
4580332,7107,4.32,10.0,0
8870461,8402,15.0,44.0,0
7268403,8409,7.0,8.99,0
2408392,8503,19.0,12.0,0
4867392,5404,5.6,7.0,0
3699707,1402,21.0,44.0,0
2787214,3307,4.73,9.0,0
5788429,6304,29.75,20.23,0
4410246,3609,10.75,26.0,0
3170092,6604,5.4,39.5,0
6680196,3807,20.0,45.0,0
4090085,9404,34.75,69.5,0
6490243,2109,83.6,186.0,0
4280798,1004,20.25,44.0,0
9622485,8403,43.2,72.0,0
5018116,1909,9.6,22.0,0
5529571,8209,12.4,34.0,0
4014309,6904,16.6,39.0,0
6541204,104,24.5,56.0,0
2639042,3809,9.25,16.0,0
5818820,4102,10.5,8.5,0
5676968,8209,2.25,3.0,0
8733393,5203,275.0,595.0,0
2170079,8403,12.45,42.0,0
8528456,2402,5.0,7.5,0
470522,7602,31.5,79.0,0
